MeanRR,SDNN,Label
0.9014,0.1762,0
0.8566,0.1492,0
0.8182,0.0464,0
0.8092,0.0486,0
0.7978,0.0419,0
0.7976,0.0442,0
0.8159,0.0524,0
0.8288,0.0525,0
0.8343,0.0548,0
0.8347,0.051,0
0.8159,0.1098,0
0.815,0.1048,0
0.8178,0.061,0
0.8162,0.1142,0
0.8494,0.0743,0
0.8302,0.0727,0
0.8242,0.0589,0
0.7897,0.0565,0
0.807,0.0534,0
0.8352,0.1232,0
0.8043,0.0796,0
0.8258,0.1217,0
0.8545,0.8545,0
0.8215,0.0548,0
0.8167,0.1245,0
0.8743,0.058,0
0.8086,0.0448,0
0.8374,0.1364,0
0.8057,0.039,0
0.7948,0.0501,0
0.8709,0.169,0
0.8244,0.0744,0
0.856,0.1089,0
0.8035,0.042,0
0.8466,0.0889,0
0.7913,0.0508,0
0.8095,0.0474,0
0.8381,0.1095,0
0.8315,0.1331,0
0.8983,0.037,0
0.8487,0.0556,0
0.8098,0.0467,0
0.8078,0.0417,0
0.8051,0.0446,0
0.8097,0.0497,0
0.8004,0.0377,0
0.8049,0.0379,0
0.7956,0.0402,0
0.7914,0.0394,0
0.7932,0.0493,0
0.8161,0.0484,0
0.8258,0.0978,0
0.8071,0.0395,0
0.7968,0.041,0
0.7993,0.0361,0
0.8016,0.0359,0
0.8033,0.0429,0
0.8014,0.0385,0
0.7975,0.0378,0
0.7968,0.0399,0
0.7913,0.0264,0
0.7882,0.0301,0
0.7876,0.0346,0
0.7915,0.0325,0
0.7769,0.0315,0
0.7875,0.043,0
0.791,0.0328,0
0.7927,0.0376,0
0.781,0.028,0
0.7858,0.0319,0
0.795,0.0369,0
0.7801,0.0396,0
0.8005,0.122,0
0.7858,0.0368,0
0.7795,0.0344,0
0.7863,0.0361,0
0.7742,0.0305,0
0.7731,0.0293,0
0.7771,0.029,0
0.7793,0.0322,0
0.7818,0.028,0
0.7807,0.031,0
0.8017,0.0394,0
0.7848,0.0358,0
0.7904,0.0314,0
0.7758,0.0254,0
0.7735,0.0309,0
0.7761,0.0293,0
0.7744,0.0245,0
0.7708,0.0296,0
0.7818,0.0327,0
0.7928,0.1027,0
0.7866,0.0392,0
0.7896,0.0347,0
0.7865,0.0324,0
0.7804,0.0348,0
0.7775,0.0353,0
0.7751,0.0391,0
0.7888,0.0366,0
0.7856,0.0357,0
0.7885,0.0433,0
0.7821,0.0353,0
0.7773,0.0283,0
0.7734,0.044,0
0.7726,0.0235,0
0.7887,0.031,0
0.7715,0.7715,0
0.7683,0.0294,0
0.778,0.0311,0
0.7784,0.0332,0
0.7697,0.0324,0
0.778,0.0307,0
0.7817,0.0441,0
0.7677,0.0272,0
0.7729,0.0231,0
0.7731,0.0317,0
0.7773,0.0301,0
0.7835,0.0305,0
0.7804,0.0264,0
0.7818,0.0305,0
0.7781,0.0326,0
0.7825,0.0314,0
0.8241,0.1567,0
0.7738,0.0294,0
0.7929,0.1207,0
0.7881,0.0469,0
0.7727,0.0423,0
0.7993,0.0466,0
0.7745,0.0489,0
0.7989,0.7989,0
0.8111,0.0523,0
0.8128,0.0525,0
0.7947,0.0519,0
0.8082,0.0458,0
0.818,0.1491,0
0.7885,0.0395,0
0.8133,0.0684,0
0.0684,0.0375,0
0.7836,0.0386,0
0.8379,0.0902,0
0.7932,0.049,0
